,split_perc,split_conn,filename,feat_name,lambda_l1,lambda_l2,num_leaves,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,f1_dev,recall_dev,precision_dev,f1_dev_0,recall_dev_0,prec_dev_0,f1_dev_1,recall_dev_1,prec_dev_1,f1_test,recall_test,precision_test,f1_test_0,recall_test_0,prec_test_0,f1_test_1,recall_test_1,prec_test_1
0,all,attack_support,ibmcs_all.csv,bert-base,0.0028512642019817625,0.20570153689556192,106,1.0,0.8,1,30,0.5428231221673987,0.551330425299891,0.5568102270477993,0.463871543264942,0.3969465648854962,0.5579399141630901,0.6217747010698553,0.7057142857142857,0.5556805399325084,0.5428231221673987,0.551330425299891,0.5568102270477993,0.463871543264942,0.3969465648854962,0.5579399141630901,0.6217747010698553,0.7057142857142857,0.5556805399325084
1,all,attack_support,ibmcs_all.csv,bert-large,0.14963000476011495,3.2041436194906876e-08,21,0.4,0.5,3,100,0.5993402455295919,0.6071864776444929,0.620143061796242,0.5266005410279532,0.44580152671755724,0.6431718061674009,0.6720799500312306,0.7685714285714286,0.5971143174250833,0.5993402455295919,0.6071864776444929,0.620143061796242,0.5266005410279532,0.44580152671755724,0.6431718061674009,0.6720799500312306,0.7685714285714286,0.5971143174250833
2,all,attack_support,ibmcs_all.csv,distilbert,7.4517199165668175e-06,1.507724984573863e-06,203,0.8,0.8,3,10,0.5428898827171701,0.5439312977099237,0.5446981364033783,0.5044319097502014,0.4778625954198473,0.5341296928327645,0.5813478556841388,0.61,0.5552665799739922,0.5428898827171701,0.5439312977099237,0.5446981364033783,0.5044319097502014,0.4778625954198473,0.5341296928327645,0.5813478556841388,0.61,0.5552665799739922
3,all,attack_support,ibmcs_all.csv,all_lms,0.00015854029838455652,8.080540807527008e-05,238,0.5,0.8,2,20,0.7614246418795014,0.7619138495092694,0.7752053369267295,0.7309644670050761,0.6595419847328244,0.8197343453510436,0.7918848167539269,0.8642857142857143,0.7306763285024155,0.7614246418795014,0.7619138495092694,0.7752053369267295,0.7309644670050761,0.6595419847328244,0.8197343453510436,0.7918848167539269,0.8642857142857143,0.7306763285024155
4,all,attack_support,ibmcs_all.csv,roberta-base,2.958196641559491e-08,0.45686899630106553,223,0.7000000000000001,0.9,1,30,0.6004592730261982,0.6057797164667393,0.6147342423754956,0.5376532399299474,0.4687022900763359,0.6303901437371663,0.6632653061224489,0.7428571428571429,0.5990783410138248,0.6004592730261982,0.6057797164667393,0.6147342423754956,0.5376532399299474,0.4687022900763359,0.6303901437371663,0.6632653061224489,0.7428571428571429,0.5990783410138248
5,all,attack_support,ibmcs_all.csv,roberta-large,2.0804917666909604e-08,0.0006493550475548569,107,1.0,0.7000000000000001,3,50,0.7584236939786146,0.758958560523446,0.7721000742512993,0.727580372250423,0.6564885496183206,0.8159392789373814,0.7892670157068061,0.8614285714285714,0.7282608695652174,0.7584236939786146,0.758958560523446,0.7721000742512993,0.727580372250423,0.6564885496183206,0.8159392789373814,0.7892670157068061,0.8614285714285714,0.7282608695652174
6,all,attack_support,ibmcs_all.csv,xlm-roberta-base,0.010609908001979907,0.00024325665629838976,198,1.0,0.4,1,60,0.5434182137217454,0.5562104689203926,0.5652891494234238,0.4504170528266913,0.3709923664122137,0.5731132075471698,0.6364193746167995,0.7414285714285714,0.5574650912996778,0.5434182137217454,0.5562104689203926,0.5652891494234238,0.4504170528266913,0.3709923664122137,0.5731132075471698,0.6364193746167995,0.7414285714285714,0.5574650912996778
7,all,attack_support,ibmcs_all.csv,xlm-roberta-large,2.2129400756228128e-08,0.0001697569613045772,71,0.7000000000000001,0.6000000000000001,1,40,0.7342583718766059,0.7356379498364232,0.7507019375797657,0.6969957081545064,0.6198473282442748,0.796078431372549,0.7715210355987054,0.8514285714285714,0.7053254437869823,0.7342583718766059,0.7356379498364232,0.7507019375797657,0.6969957081545064,0.6198473282442748,0.796078431372549,0.7715210355987054,0.8514285714285714,0.7053254437869823
8,all,attack_support,argmin_all.csv,bert-base,2.0588050260310596e-05,3.033742472423587e-08,47,0.9,1.0,1,80,0.5755747994686704,0.5768332421114265,0.5815998918535292,0.6549663928304705,0.700479233226837,0.615007012622721,0.4961832061068703,0.4531872509960159,0.5481927710843374,0.5755747994686704,0.5768332421114265,0.5815998918535292,0.6549663928304705,0.700479233226837,0.615007012622721,0.4961832061068703,0.4531872509960159,0.5481927710843374
9,all,attack_support,argmin_all.csv,bert-large,0.0010049813647457142,0.03038939560980763,8,0.6000000000000001,0.8,2,40,0.6163774492237907,0.6174360067716356,0.6275358261991959,0.6951084957705038,0.7547923322683706,0.6441717791411042,0.5376464026770775,0.4800796812749004,0.6108998732572877,0.6163774492237907,0.6174360067716356,0.6275358261991959,0.6951084957705038,0.7547923322683706,0.6441717791411042,0.5376464026770775,0.4800796812749004,0.6108998732572877
10,all,attack_support,argmin_all.csv,distilbert,6.132753369016098e-05,0.21115412038806716,108,0.9,0.8,3,20,0.5176391184882418,0.5208065501571987,0.5222936532899632,0.6115027829313543,0.65814696485623,0.571032571032571,0.42377545404512934,0.3834661354581673,0.4735547355473555,0.5176391184882418,0.5208065501571987,0.5222936532899632,0.6115027829313543,0.65814696485623,0.571032571032571,0.42377545404512934,0.3834661354581673,0.4735547355473555
11,all,attack_support,argmin_all.csv,all_lms,4.0230607351910526e-06,0.17501059284158585,235,1.0,1.0,3,50,0.7378463592378597,0.7392363453534107,0.7372854073443416,0.7605059159526724,0.744408945686901,0.7773144286905754,0.7151868025230471,0.7340637450199203,0.6972563859981078,0.7378463592378597,0.7392363453534107,0.7372854073443416,0.7605059159526724,0.744408945686901,0.7773144286905754,0.7151868025230471,0.7340637450199203,0.6972563859981078
12,all,attack_support,argmin_all.csv,roberta-base,6.511861540072374e-08,7.873989579664389e-07,242,0.7000000000000001,0.5,1,10,0.6121821902724363,0.612004060435574,0.6163185537139897,0.6763027767211869,0.7100638977635783,0.6456063907044299,0.5480616038236857,0.5139442231075697,0.5870307167235495,0.6121821902724363,0.612004060435574,0.6163185537139897,0.6763027767211869,0.7100638977635783,0.6456063907044299,0.5480616038236857,0.5139442231075697,0.5870307167235495
13,all,attack_support,argmin_all.csv,roberta-large,0.5221912064384636,0.8319271164705334,16,1.0,0.8,3,40,0.7276016516823625,0.7296516808166694,0.7272710453283997,0.7482488669138856,0.7252396166134185,0.7727659574468085,0.7069544364508394,0.7340637450199203,0.6817761332099908,0.7276016516823625,0.7296516808166694,0.7272710453283997,0.7482488669138856,0.7252396166134185,0.7727659574468085,0.7069544364508394,0.7340637450199203,0.6817761332099908
14,all,attack_support,argmin_all.csv,xlm-roberta-base,0.03650921208975906,1.479519727342689e-05,64,0.6000000000000001,0.6000000000000001,2,20,0.5646504537512489,0.5650353856140932,0.5672167338834005,0.634314100114635,0.6629392971246006,0.608058608058608,0.4949868073878628,0.46713147410358563,0.5263748597081931,0.5646504537512489,0.5650353856140932,0.5672167338834005,0.634314100114635,0.6629392971246006,0.608058608058608,0.4949868073878628,0.46713147410358563,0.5263748597081931
15,all,attack_support,argmin_all.csv,xlm-roberta-large,9.330400508371608e-08,0.005186452802400877,246,0.4,0.8,2,100,0.6483541269268444,0.6475885595000191,0.652015732546706,0.7032208588957055,0.7324281150159745,0.6762536873156342,0.5934873949579832,0.5627490039840638,0.6277777777777778,0.6483541269268444,0.6475885595000191,0.652015732546706,0.7032208588957055,0.7324281150159745,0.6762536873156342,0.5934873949579832,0.5627490039840638,0.6277777777777778
16,all,attack_support,perspectrum_all.csv,bert-base,3.649349914133962e-07,3.759493967961627e-08,229,1.0,1.0,1,30,0.635868774791233,0.6357050440623169,0.6362999912946894,0.6084243369734789,0.5990783410138248,0.618066561014263,0.6633132126089872,0.672331747110809,0.6545334215751158,0.635868774791233,0.6357050440623169,0.6362999912946894,0.6084243369734789,0.5990783410138248,0.618066561014263,0.6633132126089872,0.672331747110809,0.6545334215751158
17,all,attack_support,perspectrum_all.csv,bert-large,0.0005653403723853448,0.006135945935474862,204,0.9,0.9,3,100,0.6732394976777547,0.6729131357812747,0.6756928602501937,0.6404809619238477,0.6136712749615976,0.6697401508801342,0.7059980334316618,0.7321549966009517,0.6816455696202531,0.6732394976777547,0.6729131357812747,0.6756928602501937,0.6404809619238477,0.6136712749615976,0.6697401508801342,0.7059980334316618,0.7321549966009517,0.6816455696202531
18,all,attack_support,perspectrum_all.csv,distilbert,5.164398808454012e-08,0.0410308819935665,229,0.9,0.7000000000000001,2,90,0.6039619779708671,0.6040677888225092,0.6039131595356219,0.5825390773922988,0.5867895545314901,0.5783497350492052,0.6253848785494355,0.6213460231135283,0.6294765840220385,0.6039619779708671,0.6040677888225092,0.6039131595356219,0.5825390773922988,0.5867895545314901,0.5783497350492052,0.6253848785494355,0.6213460231135283,0.6294765840220385
19,all,attack_support,perspectrum_all.csv,all_lms,0.06020721974127876,5.636607259361028e-07,242,0.4,0.9,2,40,0.8223953263972668,0.8212434773255808,0.8255679695544824,0.8054226475279107,0.7757296466973886,0.8374792703150912,0.8393680052666228,0.8667573079537729,0.8136566687938737,0.8223953263972668,0.8212434773255808,0.8255679695544824,0.8054226475279107,0.7757296466973886,0.8374792703150912,0.8393680052666228,0.8667573079537729,0.8136566687938737
20,all,attack_support,perspectrum_all.csv,roberta-base,2.9840794188861992e-05,0.05404052584085455,11,0.4,0.5,2,30,0.7000128563454949,0.6998520291430534,0.700247245302287,0.6795665634674922,0.674347158218126,0.6848673946957878,0.7204591492234976,0.7253569000679809,0.715627095908786,0.7000128563454949,0.6998520291430534,0.700247245302287,0.6795665634674922,0.674347158218126,0.6848673946957878,0.7204591492234976,0.7253569000679809,0.715627095908786
21,all,attack_support,perspectrum_all.csv,roberta-large,0.0007006328013782079,0.11689977022391244,94,0.4,0.8,1,70,0.8195336084880904,0.8184359992105437,0.8224790215891246,0.802547770700637,0.7741935483870968,0.8330578512396695,0.8365194462755438,0.8626784500339905,0.8119001919385797,0.8195336084880904,0.8184359992105437,0.8224790215891246,0.802547770700637,0.7741935483870968,0.8330578512396695,0.8365194462755438,0.8626784500339905,0.8119001919385797
22,all,attack_support,perspectrum_all.csv,xlm-roberta-base,2.270024340518482e-08,4.774501855538212e-08,20,0.6000000000000001,0.7000000000000001,3,80,0.607436144249542,0.6075830103976416,0.609496062238944,0.5669481302774427,0.5414746543778802,0.5949367088607594,0.6479241582216411,0.6736913664174031,0.6240554156171285,0.607436144249542,0.6075830103976416,0.609496062238944,0.5669481302774427,0.5414746543778802,0.5949367088607594,0.6479241582216411,0.6736913664174031,0.6240554156171285
23,all,attack_support,perspectrum_all.csv,xlm-roberta-large,8.073215823543875e-05,0.0012029874508780979,107,0.6000000000000001,1.0,1,20,0.7447533136966127,0.744091869330351,0.7467434790410945,0.7216494845360826,0.6989247311827957,0.7459016393442623,0.7678571428571428,0.7892590074779062,0.7475853187379266,0.7447533136966127,0.744091869330351,0.7467434790410945,0.7216494845360826,0.6989247311827957,0.7459016393442623,0.7678571428571428,0.7892590074779062,0.7475853187379266
24,all,attack,ibmcs_all.csv,bert-base,0.007437156123240102,4.1965109070958416e-08,181,0.9,0.8,2,70,0.5301813907381134,0.5436259541984733,0.5507373755821386,0.43413729128014844,0.35725190839694654,0.5531914893617021,0.6262254901960784,0.73,0.5482832618025751,0.5301813907381134,0.5436259541984733,0.5507373755821386,0.43413729128014844,0.35725190839694654,0.5531914893617021,0.6262254901960784,0.73,0.5482832618025751
25,all,attack,ibmcs_all.csv,bert-large,0.014702599356202484,5.918179871452189e-06,181,0.7000000000000001,0.5,3,80,0.5849264590795871,0.5909051254089421,0.5989610044257032,0.5184534270650264,0.45038167938931295,0.6107660455486542,0.6513994910941476,0.7314285714285714,0.5871559633027523,0.5849264590795871,0.5909051254089421,0.5989610044257032,0.5184534270650264,0.45038167938931295,0.6107660455486542,0.6513994910941476,0.7314285714285714,0.5871559633027523
26,all,attack,ibmcs_all.csv,distilbert,1.0333922576609394e-08,0.00014385721768121366,86,0.5,0.4,1,50,0.5340861791266265,0.5351145038167939,0.5356987645123239,0.49557522123893805,0.47022900763358777,0.5238095238095238,0.572597137014315,0.6,0.5475880052151239,0.5340861791266265,0.5351145038167939,0.5356987645123239,0.49557522123893805,0.47022900763358777,0.5238095238095238,0.572597137014315,0.6,0.5475880052151239
27,all,attack,ibmcs_all.csv,all_lms,0.00019353773685237951,7.347307012419848e-06,149,0.9,1.0,2,90,0.769015001239772,0.7693511450381679,0.7826327256416008,0.7398648648648649,0.6687022900763359,0.8279773156899811,0.798165137614679,0.87,0.7372881355932204,0.769015001239772,0.7693511450381679,0.7826327256416008,0.7398648648648649,0.6687022900763359,0.8279773156899811,0.798165137614679,0.87,0.7372881355932204
28,all,attack,ibmcs_all.csv,roberta-base,0.0014017991215110796,0.44824795818305085,106,0.8,0.8,3,10,0.6078434684684684,0.6153380588876772,0.6291391941391942,0.5369369369369369,0.4549618320610687,0.654945054945055,0.67875,0.7757142857142857,0.6033333333333334,0.6078434684684684,0.6153380588876772,0.6291391941391942,0.5369369369369369,0.4549618320610687,0.654945054945055,0.67875,0.7757142857142857,0.6033333333333334
29,all,attack,ibmcs_all.csv,roberta-large,0.003320606340030838,0.03529128596999792,31,1.0,0.4,2,10,0.7558368862445715,0.75592693565976,0.7644314192097423,0.7295285359801488,0.6732824427480916,0.796028880866426,0.782145236508994,0.8385714285714285,0.7328339575530587,0.7558368862445715,0.75592693565976,0.7644314192097423,0.7295285359801488,0.6732824427480916,0.796028880866426,0.782145236508994,0.8385714285714285,0.7328339575530587
30,all,attack,ibmcs_all.csv,xlm-roberta-base,0.00033815766377015826,2.6886139305617034e-06,25,0.4,0.7000000000000001,2,40,0.5314532805631257,0.5462868047982552,0.5546994205946637,0.43151969981238275,0.3511450381679389,0.559610705596107,0.6313868613138687,0.7414285714285714,0.5497881355932204,0.5314532805631257,0.5462868047982552,0.5546994205946637,0.43151969981238275,0.3511450381679389,0.559610705596107,0.6313868613138687,0.7414285714285714,0.5497881355932204
31,all,attack,ibmcs_all.csv,xlm-roberta-large,2.5607734569183693e-07,0.551978634587448,51,0.8,0.8,1,30,0.704311363575323,0.7075408942202835,0.7267792966701938,0.656084656084656,0.5679389312977099,0.7766179540709812,0.7525380710659899,0.8471428571428572,0.6769406392694064,0.704311363575323,0.7075408942202835,0.7267792966701938,0.656084656084656,0.5679389312977099,0.7766179540709812,0.7525380710659899,0.8471428571428572,0.6769406392694064
32,all,attack,argmin_all.csv,bert-base,7.957374630448439e-05,6.873106122654787e-08,96,0.9,0.4,1,60,0.5708466735846418,0.571011481231623,0.573060235283718,0.6372360844529751,0.6629392971246006,0.6134515890613451,0.5044572627163084,0.47908366533864544,0.5326688815060908,0.5708466735846418,0.571011481231623,0.573060235283718,0.6372360844529751,0.6629392971246006,0.6134515890613451,0.5044572627163084,0.47908366533864544,0.5326688815060908
33,all,attack,argmin_all.csv,bert-large,4.963770621436162e-08,1.5041015084237764e-06,6,0.5,0.6000000000000001,2,30,0.6130949051606429,0.614551379147945,0.6253761493452215,0.6947291361639825,0.7579872204472844,0.6412162162162162,0.5314606741573034,0.4711155378486056,0.6095360824742269,0.6130949051606429,0.614551379147945,0.6253761493452215,0.6947291361639825,0.7579872204472844,0.6412162162162162,0.5314606741573034,0.4711155378486056,0.6095360824742269
34,all,attack,argmin_all.csv,distilbert,0.06168861333659005,0.015738652133050136,35,0.4,0.8,1,70,0.5140069806736474,0.5186315441110956,0.5203672718291584,0.6161172161172163,0.6717252396166135,0.5690121786197564,0.4118967452300786,0.3655378486055777,0.4717223650385604,0.5140069806736474,0.5186315441110956,0.5203672718291584,0.6161172161172163,0.6717252396166135,0.5690121786197564,0.4118967452300786,0.3655378486055777,0.4717223650385604
35,all,attack,argmin_all.csv,all_lms,1.6003269005008543e-06,0.6382975469705064,62,1.0,0.8,3,80,0.7286105129854108,0.7295721268281506,0.728093069724833,0.7537525354969574,0.7420127795527156,0.7658697444352844,0.7034684904738642,0.7171314741035857,0.6903163950143816,0.7286105129854108,0.7295721268281506,0.728093069724833,0.7537525354969574,0.7420127795527156,0.7658697444352844,0.7034684904738642,0.7171314741035857,0.6903163950143816
36,all,attack,argmin_all.csv,roberta-base,3.092831431854819e-08,0.004388807568182992,135,1.0,1.0,3,100,0.6330344190873507,0.63254490027112,0.6377644633668573,0.6940326871911819,0.7292332268370607,0.6620739666424945,0.5720361509835193,0.5358565737051793,0.61345496009122,0.6330344190873507,0.63254490027112,0.6377644633668573,0.6940326871911819,0.7292332268370607,0.6620739666424945,0.5720361509835193,0.5358565737051793,0.61345496009122
37,all,attack,argmin_all.csv,roberta-large,0.0010729847689632077,2.6458269985300328e-05,9,1.0,0.5,3,80,0.7072717792681795,0.7078427504041342,0.7068927287413485,0.7360774818401937,0.7284345047923323,0.7438825448613376,0.6784660766961652,0.6872509960159362,0.6699029126213593,0.7072717792681795,0.7078427504041342,0.7068927287413485,0.7360774818401937,0.7284345047923323,0.7438825448613376,0.6784660766961652,0.6872509960159362,0.6699029126213593
38,all,attack,argmin_all.csv,xlm-roberta-base,1.6848300054921968e-05,9.544138233798526e-05,70,0.7000000000000001,0.6000000000000001,1,80,0.5779414099071227,0.5785102401894022,0.5820561941251596,0.6505295007564297,0.6869009584664537,0.617816091954023,0.5053533190578159,0.4701195219123506,0.5462962962962963,0.5779414099071227,0.5785102401894022,0.5820561941251596,0.6505295007564297,0.6869009584664537,0.617816091954023,0.5053533190578159,0.4701195219123506,0.5462962962962963
39,all,attack,argmin_all.csv,xlm-roberta-large,1.4489906787709538e-05,0.019939575954259926,212,0.6000000000000001,0.6000000000000001,3,80,0.6440116318387773,0.643299008439087,0.6473791695030633,0.6989247311827957,0.7268370607028753,0.6730769230769231,0.5890985324947589,0.5597609561752988,0.6216814159292036,0.6440116318387773,0.643299008439087,0.6473791695030633,0.6989247311827957,0.7268370607028753,0.6730769230769231,0.5890985324947589,0.5597609561752988,0.6216814159292036
40,all,attack,perspectrum_all.csv,bert-base,0.10573428391933537,5.623378954462351e-07,240,0.9,1.0,2,90,0.6228608271161462,0.6227756074689256,0.6230050165562048,0.5972920696324951,0.5929339477726574,0.6017147310989868,0.6484295845997974,0.6526172671651937,0.6442953020134228,0.6228608271161462,0.6227756074689256,0.6230050165562048,0.5972920696324951,0.5929339477726574,0.6017147310989868,0.6484295845997974,0.6526172671651937,0.6442953020134228
41,all,attack,perspectrum_all.csv,bert-large,4.692350865249193e-08,0.037287116310112285,212,1.0,0.8,3,90,0.6643311952386179,0.6640314905374882,0.6659016545806726,0.6335847558554981,0.6129032258064516,0.6557107641741988,0.6950776346217377,0.7151597552685248,0.6760925449871465,0.6643311952386179,0.6640314905374882,0.6659016545806726,0.6335847558554981,0.6129032258064516,0.6557107641741988,0.6950776346217377,0.7151597552685248,0.6760925449871465
42,all,attack,perspectrum_all.csv,distilbert,0.006082584924106903,1.1839624669323351e-05,210,0.9,0.4,3,100,0.6046269983105304,0.6052149023465442,0.6048340443242118,0.5906542056074767,0.6067588325652842,0.5753823743627094,0.618599791013584,0.6036709721278042,0.6342857142857142,0.6046269983105304,0.6052149023465442,0.6048340443242118,0.5906542056074767,0.6067588325652842,0.5753823743627094,0.618599791013584,0.6036709721278042,0.6342857142857142
43,all,attack,perspectrum_all.csv,all_lms,0.005903292418113999,0.0006607463809867844,158,1.0,0.5,2,40,0.8271145498100547,0.8259269585775584,0.8303777838936404,0.8105305145592341,0.7803379416282642,0.8431535269709544,0.8436985850608753,0.8715159755268524,0.8176020408163265,0.8271145498100547,0.8259269585775584,0.8303777838936404,0.8105305145592341,0.7803379416282642,0.8431535269709544,0.8436985850608753,0.8715159755268524,0.8176020408163265
